sample_index,pm25_pred,pm25_claimed,aqi_pred,aqi_claimed,category_pred,category_claimed,h1_number_match,h2_aqi_match,h3_category_ok,h4_feature_ok,h5_range_ok,h6_confidence_low,fabricated_features,out_of_range_values,avg_logprob,is_hallucination,notes
0,106.94761657714844,106.9476,178,178,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.05653631428013677,False,
1,67.68267059326172,67.6827,157,157,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.01869977272369645,False,
2,56.07001876831055,56.07,151,151,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.007972125506516799,False,
3,30.565942764282227,30.5659,90,90,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.04765996304306671,False,
4,56.00892639160156,56.0089,151,151,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.10700259390657982,False,
5,28.750425338745117,28.7504,86,86,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06003738247172933,False,
6,23.286354064941406,23.2864,75,75,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.053760391055491935,False,
7,32.41658401489258,32.4166,94,94,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06346641948162499,False,
8,24.416011810302734,24.416,77,77,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.10506692041571324,False,
9,26.717130661010742,26.7171,82,82,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.05851875554959653,False,
10,29.599916458129883,29.5999,88,88,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.0826284360861586,False,
11,28.63008689880371,28.6301,86,86,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.04641509269837473,False,
12,29.97125816345215,29.9713,89,89,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.028452650804457993,False,
13,48.636131286621094,48.6361,133,133,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.08267867204452319,False,
14,67.05052947998047,67.0505,157,157,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.05223249109419248,False,
15,72.66205596923828,72.6621,160,160,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.009672193087282635,False,
16,84.5078353881836,84.5078,166,166,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0764540784761437,False,
17,117.76696014404297,117.767,183,183,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.07222659917997903,False,
18,148.15049743652344,148.1505,199,199,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.044137359637281166,False,
19,170.98382568359375,170.9838,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08476664415322059,False,
20,170.29409790039062,170.2941,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.11632273234426975,False,
21,169.3497772216797,169.3498,220,220,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.11017623405997493,False,
22,167.6665802001953,167.6666,218,218,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.11198902092242645,False,
23,139.56781005859375,139.5678,194,194,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.007070716540768462,False,
24,165.75656127929688,165.7566,216,216,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.09787368420511484,False,
25,184.6310272216797,184.631,235,235,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.05845558864099008,False,
26,86.21016693115234,86.2102,167,167,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.003672829270362854,False,
27,116.0400390625,116.04,182,182,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.00941267000654569,False,
28,106.33418273925781,106.3342,177,177,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04923566735309103,False,
29,97.83058166503906,97.8306,173,173,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.008732907048293522,False,
30,92.80011749267578,92.8001,170,170,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.027458285560479034,False,
31,132.7090301513672,132.709,191,191,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.011040211291540238,False,
32,120.96440124511719,120.9644,185,185,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04425363715576089,False,
33,127.08504486083984,127.085,188,188,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.024053762446750292,False,
34,148.86752319335938,148.8675,199,199,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.045464535899784254,False,
35,166.6033477783203,166.6033,217,217,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.05941910621447441,False,
36,171.10231018066406,171.1023,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.09223918287704388,False,
37,197.47296142578125,197.473,248,248,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07632871519806039,False,
38,242.17652893066406,242.1765,292,292,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08491182063931021,False,
39,223.95419311523438,223.9542,274,274,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.06775413152821567,False,
40,239.3017120361328,239.3017,289,289,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07321864428049928,False,
41,268.693115234375,268.6931,315,315,Hazardous,Hazardous,True,True,True,True,True,False,[],[],-0.06932053260016637,False,
42,254.01260375976562,254.0126,304,304,Hazardous,Hazardous,True,True,True,True,True,False,[],[],-0.07206604078070808,False,
43,204.5963897705078,204.5964,255,255,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.042043589444264125,False,
44,130.0662078857422,130.0662,190,190,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.044618570934171264,False,
45,14.64450454711914,14.6445,56,56,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.09285078653648718,False,
46,39.468162536621094,39.4682,111,111,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.05790958566074612,False,
47,38.119712829589844,38.1197,107,107,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.07434949910800372,False,
48,44.804229736328125,44.8042,124,124,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.09941103352142162,False,
49,44.75709533691406,44.7571,124,124,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.07451010022285211,False,
50,47.30341339111328,47.3034,130,130,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.09472317083014382,False,
51,39.35963439941406,39.3596,111,111,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.1179526801441462,False,
52,41.202613830566406,41.2026,115,115,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.07026520448512044,False,
53,26.496368408203125,26.4964,81,81,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.0212088521474447,False,
54,31.139158248901367,31.1392,91,91,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.03551427178598683,False,
55,34.178077697753906,34.1781,97,97,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.03677171359545198,False,
56,30.59779930114746,30.5978,90,90,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.0749356063703696,False,
57,26.053537368774414,26.0535,80,80,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06737061265495516,False,
58,33.66212844848633,33.6621,96,96,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.0742641029849885,False,
59,38.839019775390625,38.839,109,109,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.07837946719128239,False,
